movie_id,actor_id,character,cast_order
10474,6193,Jim Carroll,0
10474,11478,Jim's Mother,1
10474,65395,Pedro,2
10474,13240,Mickey,3
10474,9257,Swifty,4
568,31,Jim Lovell,0
568,2053,Fred Haise,1
568,4724,Jack Swigert,2
568,33,Ken Mattingly,3
568,228,Gene Kranz,4
11780,3896,Robert Roy MacGregor (Rob Roy),0
11780,4431,Mary MacGregor,1
11780,5049,John Graham (Marquis of Montrose),2
11780,3129,Archibald Cunningham,3
11780,7036,Alan MacDonald,4
414,5576,Bruce Wayne / Batman,0
414,2176,Harvey Dent / Two-Face,1
414,206,Edward Nygma / The Riddler,1
414,2227,Dr. Chase Meridian,1
414,5577,Dick Grayson / Robin,2
649,50,Séverine Serizy,0
649,3784,Henri Husson,1
649,9762,Pierre Serizy,2
649,9763,Madame Anais,3
649,17577,Marcel,4
1775,7180,Sheriff Bud B. Boomer,0
1775,21278,U.S. President,1
1775,24203,Deputy Honey,2
1775,7166,"Stuart Smiley, National Security Advisor",3
1775,9626,General Dick Panzer,4
8839,6886,Kathleen 'Kat' Harvey,0
8839,8984,Dr. James Harvey,1
8839,14702,Carrigan Crittenden,2
8839,10713,Paul 'Dibbs' Plutzker,3
8839,159788,Stretch (voice),4
20649,1037,Det. Rocco Klein,0
20649,1241,Det. Larry Mazilli,1
20649,18792,Rodney Little,2
20649,327,Ronald 'Strike' Dunham,3
20649,21353,Victor Dunham,4
10329,350,Dr. Karen Ross,0
10329,21043,Dr. Peter Elliot,1
10329,8874,Captain Munro Kelly,2
10329,13472,Herkermer Homolka,3
10329,31511,Richard,4
8963,5292,Lt. Commander Ron Hunter,0
8963,193,Captain Frank Ramsey,1
8963,13525,"Lt. Roy Zimmer, USS Alabama Communications Officer",2
8963,10477,Chief of the Boat,3
8963,110,Lt. Peter 'WEAPS' Ince,4
8068,3131,El Mariachi,0
8068,3136,Carolina,1
8068,22462,Bucho,2
8068,11159,Short Bartender,3
8068,884,Buscemi,4
8512,5292,Ezekiel 'Easy' Rawlins,0
8512,3197,DeWitt Albright,1
8512,3130,Daphne Monet,2
8512,1896,Mouse Alexander,3
8512,7868,Matthew Terell,4
1572,62,John McClane,0
1572,16940,Simon Peter Gruber,1
1572,2231,Zeus Carver,2
1572,6804,Joe Lambert,3
1572,13023,Connie Kowalski,4
13552,16850,Amy Blue,0
13552,1582,Jordan White,1
13552,51670,Xavier Red,2
13552,157847,Peanut,3
13552,61632,Quickiemart Clerk,4
6520,738,King Arthur,0
6520,1205,Lancelot,1
6520,15887,Guinevere,2
6520,29068,Prince Malagant,3
6520,15498,Agravaine,4
9073,18259,Jesse,0
9073,147,Glen Greenwood,1
9073,18261,Annie Greenwood,2
9073,18260,Randolph Johnson,3
9073,8184,Nadine,4
10428,9012,Dade Murphy / 'Crash Override' / 'Zero Cool',0
10428,11701,Kate Libby / 'Acid Burn',1
10428,17772,Joey Pardella,2
10428,26457,Emmanuel Goldstein / 'Cereal Killer',3
10428,28863,Ramon Sanchez / 'Phantom Phreak',4
9886,6384,Johnny Mnemonic,0
9886,2133,Jane,1
9886,3317,Takahashi,2
9886,21411,J-Bone,3
9886,16644,Street Preacher,4
9482,16483,Judge Joseph Dredd,0
9482,2882,Judge Hershey,1
9482,23346,Rico,2
9482,60949,Herman 'Fergee' Ferguson,3
9482,920,Judge Griffin,4
9344,57387,Telly,0
9344,5916,Ruby,2
9344,2838,Jenny,3
9344,57389,Casper,4
9344,1187713,Paul,5
9071,884,Nick Reve,0
9071,2229,Nicole Springer,1
9071,20212,Wolf,2
9071,6474,Chad Palomino,3
9071,22970,Tito,4
2293,11662,Brodie Bruce,0
2293,23646,T.S. Quint,1
2293,19144,Rene Mosier,2
2293,4174,Brandi Svenning,3
2293,880,Shannon Hamilton,4
9070,56895,Kimberly Hart / Pink Ranger,0
9070,50098,Tommy Oliver / White Ranger,1
9070,56896,Billy Cranston / Blue Ranger,2
9070,50096,Adam Park / Black Ranger,3
9070,56897,Rocky DeSantos / Red Ranger,4
1642,18277,Angela Bennett/Ruth Marx,0
1642,18325,Jack Devlin,1
1642,18326,Dr. Alan Champion,2
1642,18327,Ruth Marx,3
1642,18328,Michael Bergstrom,4
11472,3291,Samuel Faulkner,0
11472,1231,Rebecca Taylor,1
11472,74036,Marty Dwyer,2
11472,3234,Gail Dwyer,3
11472,4785,Sean Fletcher,4
11980,4690,Gabriel,0
11980,13550,Thomas Daggett,1
11980,12519,Katherine Henley,2
11980,7036,Simon,3
11980,6163,Jerry,4
32646,1231,Carol White,0
32646,3982,Greg White,1
32646,14329,Mover,2
32646,54246,Peter Dunning,3
32646,54348,Claire,4
10533,3416,Hester Prynne,0
10533,64,Rev. Arthur Dimmesdale,1
10533,3087,Roger Chillingworth,2
10533,10360,Horace Stonehall,3
10533,3545,Gov. John Bellingham,4
10802,19189,Nomi Malone,0
10802,6677,Zack Carey,1
10802,11150,Cristal Connors,2
10802,2683,James Smith,3
10802,2055,Al Torres,4
10149,1037,Augustus 'Auggie' Wren,0
10149,227,Paul Benjamin,1
10149,4808,Tommy,2
10149,10963,Jerry,3
10149,46395,Dennis,4
9348,57395,Sil,0
9348,2282,Xavier Fitch,1
9348,147,Preston Lennox,2
9348,658,Dr. Stephen Arden,3
9348,2178,"Dan Smithson, Empath",4
281,5469,Lenny Nero,0
281,9780,Lornette 'Mace' Mason,1
281,3197,Max Peltier,2
281,3196,Faith Justin,3
281,7132,Burton Steckler,4
5967,50,Geneviève Emery,0
5967,5476,Guy,1
5967,28608,Madame Emery (Mutter),2
5967,46935,Tante Élise,3
5967,46936,Roland Cassard,4
36834,6193,Arthur Rimbaud,0
36834,11207,Paul Verlaine,1
36834,40938,Mathilde Maute,2
36834,19068,Isabelle Rimbaud,3
36834,150916,Rimbaud's Mother,4
9090,723,Vida Boheme,0
9090,10814,Noxeema Jackson,1
9090,5723,Chi-Chi Rodriguez,2
9090,8893,Carol Ann,3
9090,52474,Bobby Ray,4
3512,23880,Casey Ryback,0
3512,10866,Travis Dane,1
3512,5616,Penn,2
3512,25541,Sarah Ryback,3
3512,9779,Bobby Zachs,4
9560,6384,Paul Sutton,0
9560,37946,Victoria Aragón,1
9560,5401,Don Pedro Aragón,2
9560,7353,María José Aragón,3
9560,1194312,Guadelupe Aragón,4
9804,1269,Mariner,0
9804,59350,Drifter,1
9804,3432,Gatesman,2
9804,49832,Enforcer,3
9804,59352,Elder / Survivor,4
76,569,Jesse,0
76,1146,Céline,1
76,571,Wife on Train,2
76,572,Husband on Train,3
76,573,Guy on Bridge,4
11017,19292,Billy Madison,0
11017,7333,Brian Madison,1
11017,20751,Veronica Vaughn,2
11017,11367,Eric Gordon,3
11017,33489,Principal Max Anderson,4
2292,23629,Dante Hicks,0
2292,23630,Randal Graves,1
2292,19302,Jay,2
2292,19303,Silent Bob,3
2292,23632,Caitlin Bree,4
1909,85,Don Juan deMarco,0
1909,3084,Dr. Jack Mickler,1
1909,6450,Marilyn Mickler,2
1909,19888,Dona Ana,3
1909,19889,Dr. Paul Showalter,4
8984,3392,Tom Sanders,0
8984,3416,Meredith Johnson,1
8984,55636,Bob Garvin,2
8984,19152,Philip Blackburn,3
8984,56485,Cindy Chang,4
4954,10814,Pete Nessip,0
4954,2048,Ty Moncrief,1
4954,20759,Jessie Crossmann,2
4954,2169,Earl Leedy,3
4954,21563,Selkirk,4
10531,10205,Paulina Escobar,0
10531,2282,Dr. Roberto Miranda,1
10531,14344,Gerardo Escobar,2
10531,65537,Dr. Miranda's Wife,3
10531,65538,Dr. Miranda's Son,4
11929,8534,Dolores Claiborne,0
11929,10431,Selena St. George,1
11929,33448,Vera Donovan,2
11929,290,John Mackey,3
11929,11064,Joe St. George,4
8467,206,Lloyd Christmas,0
8467,8447,Harry Dune,1
8467,34485,Mary Swanson,2
8467,8437,Helen Swanson,3
8467,5170,Joe Mentaliano,4
10451,1623,Chu,0
10451,65352,Jia-Ning,1
10451,65353,Jia-Chien,2
10451,65354,Jia-Jen,3
10451,57054,Li Kai,4
20156,21089,Francis,0
20156,18658,Christina,1
20156,13550,Eric,2
20156,20173,Thomas,3
20156,98,Tracey Brown,4
522,85,Ed Wood,0
522,2641,Bela Lugosi,1
522,520,Dolores Fuller,2
522,4687,Kathy O'Hara,3
522,4004,Criswell,4
397,5344,Kate,0
397,8945,Luc Teyssier,1
397,16327,Charlie,2
397,1003,Inspector Jean-Paul Cardon,3
397,16328,Perfect Passenger,4
10525,7904,Mickey Gordon,0
10525,26513,Ellen Andrews Gordon,1
10525,3266,Andy,2
10525,65528,Liz,3
10525,15416,Craig,4
15789,84213,Goofy Goof (voice),0
15789,61983,Max Goof (voice),1
15789,43125,P.J. Pete (voice),2
15789,12077,Peter Pete (voice),3
15789,93663,Roxanne (voice),4
21183,2231,Rumbo (voice),0
21183,8654,Thomas P. Johnson / Voice of Fluke,1
21183,18331,Carol Johnson,2
21183,7036,Jeff Newman,3
21183,85313,Brian Johnson,4
14275,134119,Himself,0
14275,134120,Himself,1
14275,122449,Narrator,2
1024,15091,Pauline Parker Rieper,0
1024,204,Juliet Hulme,1
1024,15092,Honorah Parker Rieper,2
1024,15093,Herbert Rieper,3
1024,15094,Hilda Hulme,4
13701,64,Ludwig van Beethoven,0
13701,1924,Anton Felix Schindler,1
13701,6588,Anna Marie Erdödy,2
13701,55851,Johanna Reiss,3
13701,23797,Karl van Beethoven,4
14819,7399,Tony Perkis,0
14819,77337,"Gerald ""Gerry"" Garner",1
14819,77330,Roy,2
14819,26042,Harvey Bushkin,3
14819,32394,Alice Bushkin,4
11777,504,Ed Walters,0
11777,5344,Catherine Boyd,1
11777,6837,Albert Einstein,2
11777,23708,Kurt Gödel,3
11777,11275,James Moreland,4
628,287,Louis de Pointe du Lac,0
628,500,Lestat de Lioncourt,1
628,205,Claudia,2
628,3131,Armand,3
628,2224,Daniel Malloy,4
6280,1100,Dr. Alex Hesse,0
6280,518,Dr. Larry Arbogast,1
6280,7056,Dr. Diana Reddin,2
6280,8924,Noah Banes,3
6280,14699,Angela,4
9061,738,Paul Armstrong,0
9061,2975,Sheriff Tanny Brown,1
9061,56871,Bobby Earl,2
9061,689,Laurie Armstrong,3
9061,15532,Evangeline,4
37108,21403,Calvin Fuller,0
37108,14324,King Arthur,1
37108,10672,Lord Belasco,2
37108,8784,Master Kane,3
37108,204,Princess Sarah,4
6071,16560,Jimmy Kilmartin,0
6071,2231,Calvin Hart,1
6071,2963,Little Junior Brown,2
6071,9994,Bev Kilmartin,3
6071,49824,Rosie Kilmartin,4
11,2,Luke Skywalker,0
11,3,Han Solo,1
11,4,Princess Leia Organa,2
11,5,Grand Moff Tarkin,3
11,12248,"Obi-Wan ""Ben"" Kenobi",4
9587,1920,Jo March,0
9587,5168,Friedrich Bhaer,1
9587,17187,Meg March,2
9587,20767,Older Amy March,3
9587,205,Younger Amy March,4
19101,84093,Sara Crewe,0
19101,45453,Miss Minchin,1
19101,15498,Capt. Crewe / Prince Rama,2
19101,34407,Amelia Minchin,3
19101,4938,Becky,4
4476,287,Tristan Ludlow,0
4476,4173,Col. William Ludlow,1
4476,18992,Alfred Ludlow,2
4476,15887,Susannah Fincannon Ludlow,3
4476,9976,Samuel Ludlow,4
11008,22675,Maj. Benson Payne,0
11008,149010,Cadet Kevin 'Tiger' Dunne,1
11008,11086,Lt. Col. Stone,2
11008,80987,Emily Walburn,3
11008,204411,Cadet Alex Stone,4
11318,15788,George III,0
11318,15735,Queen Charlotte,1
11318,65,Dr. Willis,2
11318,11278,Greville,3
11318,18191,Lady Elizabeth Pembroke,4
3036,380,The Creature,0
3036,11181,Victor Frankenstein,1
3036,3999,Henry Clerval,2
3036,1283,Elizabeth,3
3036,18992,Cap. Robert Walton,4
10510,4786,Kris Kringle,0
10510,20,Dorey Walker,1
10510,32597,Bryan Bedford,2
10510,22131,Ed Collins,3
10510,1736,Jack Duff,4
8438,2224,James Stamphill,0
8438,4724,Henri Young,1
8438,64,Glenn,2
8438,6368,Mary McCasslin,3
8438,3905,Bill McNeill,4
1945,1038,Nell Kellty,0
1945,3896,Dr. Lovell,1
1945,20162,Dr. Paula Olsen,2
1945,20163,Dr. Paley,3
1945,20164,Mary Peterson,4
241,57755,Mickey Knox,0
241,3196,Mallory Knox,1
241,3223,Wayne Gale,2
241,2176,Warden Dwight McClusky,3
241,3197,Det. Jack Scagnetti,4
9058,3141,Faith Corvatch,0
9058,3223,Peter Wright / Damon Bradley,1
9058,5149,Kate Corvatch,2
9058,22462,Giovanni,3
9058,26473,Larry Corvatch,4
18220,24967,Lily Leonetti,0
18220,51670,Gredin,1
18220,3982,Donald Falk,2
18220,44049,Angela Falk,3
18220,38670,Daphne Falk,4
6950,4483,Sam Daniels,0
6950,14343,Robby Keough,1
6950,192,Billy Ford,2
6950,1979,Casey Schuler,3
6950,9777,Salt,4
101,1003,Léon Montana,0
101,524,Mathilda Lando,1
101,64,Norman Stansfield,2
101,1004,Tony,3
101,1005,Malky,4
680,8891,Vincent Vega,0
680,2231,Jules Winfield,1
680,139,Mia Wallace,2
680,62,Butch Coolidge,3
680,10182,Marsellus Wallace,4
11450,1241,Herbie Stempel,0
11450,52602,Dick Goodwin,1
11450,5469,Charles Van Doren,2
11450,13324,Mark Van Doren,3
11450,19839,Dan Enright,4
12106,4430,"Ellen ""The Lady“",0
12106,193,John Herod,1
12106,934,Cort,2
12106,6193,"Fee Herod ""The Kid“",3
12106,2144,Dog Kelly,4
3586,5676,Sergio,0
3586,16757,Isabella de la Fontaine,1
3586,19162,Olivier de la Fontaine,2
3586,20710,Sophie Choiset,3
3586,326,Kitty Potter,4
110,1350,Valentine Dussaut,0
110,1352,Richter Joseph Kern,1
110,1356,Auguste Bruner,2
110,1354,Karin,3
110,49025,Le photographe,4
108,1137,Julie Vignon,0
108,1138,Olivier,1
108,1139,Sandrine,2
108,1140,Lucille,3
108,1141,La journaliste,4
109,1145,Karol Karol,0
109,1146,Dominique,1
109,1147,Mikolaj,2
109,1148,Jurek,3
109,1149,Le notaire,4
22586,9260,Princess Odette (voice),0
22586,3785,Lord Rothbart (voice),1
22586,88946,Prince Derek (voice),2
22586,8930,Jean-Bob (voice),3
22586,3214,"Mr. Lorenzo ""Speed"" Trudgealong (voice)",4
2636,16483,Ray Quick,0
2636,4430,May Munro,1
2636,4512,Ned Trent,2
2636,522,Joe Leon,3
2636,21315,Tomas Leon,4
2164,6856,Colonel Jonathan “Jack” O'Neil,0
2164,13548,Dr. Daniel Jackson,1
2164,228173,Ra,2
2164,22137,Catherine,3
2164,22138,Skaara,4
